dataset,seed,threshold,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,0.25,0.7526969526495252,0.6037217080593109,0.9644926616123745,0.7861591449805668,0.9783407918044499,0.9655907912930796,216.7401535719234,4.613819744610259
CHASE-DB1,123,0.35,0.7563487333910806,0.6084166935511998,0.9653336661202567,0.7825452557631901,0.9795209808009011,0.9680933154463759,219.8974392875763,4.547574556756095
CHASE-DB1,2026,0.2,0.7549663484096527,0.6066490156309945,0.9648314884730748,0.7884397464139121,0.9785367122718266,0.9650628664045185,230.41442499795397,4.34000605651699
