image_idx,dice,iou,accuracy,sensitivity,specificity,auc
0,0.72600865,0.5908537920647264,0.6151237487792969,0.8172685356532086,0.18541482841454923,0.5065806597426837
1,0.7282372,0.5941906293433807,0.6178245544433594,0.820406702306322,0.18318934485021374,0.5070635376551813
10,0.7290012,0.5952277745160112,0.6188507080078125,0.8194635775948584,0.1846701671774438,0.5084522941400562
11,0.731688,0.5986658468126819,0.6215476989746094,0.818382910005373,0.18380824714149266,0.5077079786939732
20,0.73224324,0.5992788539291172,0.6218414306640625,0.8195427206747549,0.18166601023801615,0.5066529738459302
21,0.73239523,0.599404451243089,0.6222915649414062,0.8196388461620786,0.1840152352846294,0.5083474482121249
30,0.732824,0.600572050442386,0.6233711242675781,0.8206599554382437,0.18415320049494602,0.507844562779546
31,0.7282501,0.5943718332465467,0.6179580688476562,0.8200762232558056,0.1832179431681425,0.5076200651208229
40,0.73201776,0.5988065618884689,0.6217002868652344,0.8183873981919,0.18404055067993702,0.5078890257474933
41,0.73103225,0.5981340551141612,0.62109375,0.818571918979333,0.18368122838205891,0.5052635269892585
50,0.7318485,0.5986040511648465,0.6213531494140625,0.8178242109114434,0.18309650863065088,0.5068585888151712
51,0.73261935,0.6002919259446138,0.6228904724121094,0.8210797597538901,0.1822418414752694,0.5078818584723421
60,0.73188204,0.5991499927227766,0.6218605041503906,0.8197914073045077,0.1824368313063367,0.5065407130736773
61,0.7295302,0.5953635918000099,0.6190032958984375,0.8188940836830875,0.1852075800246072,0.5091486773896708
70,0.7320111,0.5986024844736728,0.621337890625,0.8193592667167436,0.18223771417126225,0.5064579034421798
71,0.7321683,0.599464277058455,0.6218147277832031,0.8202337254509761,0.1800413548619038,0.5050776829229585
80,0.7287601,0.5947336047346782,0.6179695129394531,0.8189584076273908,0.1817676083569349,0.506414051892984
81,0.73144627,0.5985043054824667,0.6213264465332031,0.8182974440601972,0.1832615914379134,0.5066847248070916
90,0.73133373,0.5981548276897368,0.6213340759277344,0.8179875550786222,0.1855155322154204,0.5072942356358328
91,0.7319844,0.5988539029594747,0.6216087341308594,0.8192541120059128,0.18269384344866643,0.5072034746285687
