dataset,seed,threshold,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,0.5,0.7661752232483455,0.6212379464081356,0.9678820201328823,0.7650616977896009,0.983632389988218,0.969536714655081,71.81390715829495,13.924879449822466
CHASE-DB1,123,0.5,0.7711581928389413,0.6277941039630345,0.968270983014788,0.7767690335001264,0.9831609853676387,0.9639193233478549,70.81571428820358,14.121159548433436
CHASE-DB1,2026,0.5,0.771214634180069,0.6278715474264962,0.9682336534772601,0.778088139636176,0.9830282756260463,0.9662300574246487,73.33486071937452,13.63607962421353
