dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,num_steps,guidance_scale,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.18678520619869232,0.1030132845044136,0.9232368469238281,0.1088348850607872,0.9950188994407654,0.749226427485652,1243.8272000290453,0.8039701977707582
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.19497503340244293,0.1080179214477539,0.9255638122558594,0.11547107249498367,0.9941575527191162,0.7615911846485599,1243.8272000290453,0.8039701977707582
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9997809529304504,0.9995620250701904,0.9999656677246094,0.9996106624603271,0.9999958872795105,0.9999999905320076,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998990297317505,0.9997979998588562,0.9999847412109375,0.999848484992981,0.9999958872795105,0.9999999989581334,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7543719410896301,0.6056157350540161,0.9659767150878906,0.6665693521499634,0.9914402961730957,0.8290048099595055,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7393284440040588,0.5864560604095459,0.9648475646972656,0.6599000096321106,0.9897664785385132,0.8248332506081866,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.34468019008636475,0.20822574198246002,0.9356689453125,0.21584659814834595,0.9968873858451843,0.8589623338724829,485.9816499520093,2.057690861576255
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.375098317861557,0.2308436930179596,0.9393844604492188,0.24082209169864655,0.9964677691459656,0.8628481281979561,485.9816499520093,2.057690861576255
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.1796482354402542,0.0986887514591217,0.9252700805664062,0.10439480096101761,0.9950827360153198,0.7527810727348139,1184.80864999583,0.8440181458866962
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.17608001828193665,0.09653933346271515,0.9271011352539062,0.10311569273471832,0.9944334626197815,0.747650472066439,1184.80864999583,0.8440181458866962
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999757409095764,0.9999514222145081,0.9999961853027344,0.9999514222145081,1.0,1.0,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999253749847412,0.9998507499694824,0.9999885559082031,0.9999502301216125,0.9999917149543762,0.9999999562186423,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7702385187149048,0.626331627368927,0.9664154052734375,0.7166027426719666,0.9877127408981323,0.8521577344176898,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7438443303108215,0.5921593904495239,0.9659500122070312,0.6447761058807373,0.9926211833953857,0.8186986478590177,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4137127101421356,0.2608056664466858,0.9386100769042969,0.27572476863861084,0.9951232075691223,0.8819946313969557,477.90845000417903,2.0924509704552317
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.3953818380832672,0.24640244245529175,0.9398689270019531,0.2564179003238678,0.9966245889663696,0.8564665665409628,477.90845000417903,2.0924509704552317
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.2146579772233963,0.12023353576660156,0.926422119140625,0.12800465524196625,0.9944897890090942,0.7801227153368617,1075.0149000086822,0.9302196648548068
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.1830473691225052,0.10074415802955627,0.9271659851074219,0.10641790926456451,0.9953231811523438,0.747668110752611,1075.0149000086822,0.9302196648548068
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999518990516663,0.9999037981033325,0.9999923706054688,0.9999037981033325,1.0,0.9999999990038002,nan,nan
