dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,coarse_mask_key,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,16,0.05,baseline,0.8912418740136283,0.8041991676603045,0.9850643702915737,0.8954425028392247,0.9916711321898869,0.9945017252655475,35.21084642021118,29.935747427602873
CHASE-DB1,42,Baseline coarse mask (baseline),YES,0.5,16,0.05,baseline,0.7764439071927752,0.6350606552192143,0.9695024490356445,0.7678286944116864,0.9851983104433332,0.8765135067522961,nan,nan
CHASE-DB1,42,Proposed refinement from coarse mask (baseline),YES,0.5,16,0.05,baseline,0.7606719945158277,0.6140170565673283,0.9662914276123047,0.7787646012646812,0.9808659085205623,0.9681782974505294,33.53580356425872,31.505811133715223
CHASE-DB1,123,AE reconstruction (GT input; sanity only),NO,0.5,16,0.05,baseline,0.9113499437059674,0.8374191990920475,0.9879984174455915,0.902699738740921,0.9943178210939679,0.996029355018693,32.81118213531694,31.72149867121076
CHASE-DB1,123,Baseline coarse mask (baseline),YES,0.5,16,0.05,baseline,0.7764439071927752,0.6350606552192143,0.9695024490356445,0.7678286944116864,0.9851983104433332,0.8765135067522961,nan,nan
CHASE-DB1,123,Proposed refinement from coarse mask (baseline),YES,0.5,16,0.05,baseline,0.7678703836032322,0.6234525101525443,0.9677143096923828,0.7757820572171893,0.9826333735670362,0.9634851048481463,31.83187500274341,32.53846988461178
CHASE-DB1,2026,AE reconstruction (GT input; sanity only),NO,0.5,16,0.05,baseline,0.9083076630319867,0.8323280470711845,0.9875813892909459,0.900476757969175,0.9940310120582581,0.9962496511513679,32.32205714032586,32.69456088580478
CHASE-DB1,2026,Baseline coarse mask (baseline),YES,0.5,16,0.05,baseline,0.7764439071927752,0.6350606552192143,0.9695024490356445,0.7678286944116864,0.9851983104433332,0.8765135067522961,nan,nan
CHASE-DB1,2026,Proposed refinement from coarse mask (baseline),YES,0.5,16,0.05,baseline,0.766964682510921,0.6222551763057709,0.9675343377249581,0.7763245488916125,0.9823918512889317,0.9657974617592187,30.172932144653583,34.788481395180376
