dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,coarse_mask_key,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,16,0.005,baseline,0.891279263155801,0.804259887763432,0.9850699560982841,0.8954647481441498,0.9916752449103764,0.9945000104485873,29.90992143168114,35.38790612150442
CHASE-DB1,42,Baseline coarse mask (baseline),YES,0.5,16,0.005,baseline,0.7764439071927752,0.6350606552192143,0.9695024490356445,0.7678286944116864,0.9851983104433332,0.8765135067522961,nan,nan
CHASE-DB1,42,Proposed refinement from coarse mask (baseline),YES,0.5,16,0.005,baseline,0.7607035424028125,0.6140579964433398,0.9662964684622628,0.7787812437329974,0.9808705960001264,0.9681803315218176,28.79882143627453,36.560796136247056
CHASE-DB1,123,AE reconstruction (GT input; sanity only),NO,0.5,16,0.005,baseline,0.9113181701728276,0.8373680029596601,0.9879951477050781,0.9026906362601689,0.9943143597670964,0.9960276555433262,39.45647142661203,25.56226322426979
CHASE-DB1,123,Baseline coarse mask (baseline),YES,0.5,16,0.005,baseline,0.7764439071927752,0.6350606552192143,0.9695024490356445,0.7678286944116864,0.9851983104433332,0.8765135067522961,nan,nan
CHASE-DB1,123,Proposed refinement from coarse mask (baseline),YES,0.5,16,0.005,baseline,0.7678830964224679,0.6234681265694755,0.9677149908883231,0.7758060736315591,0.9826318451336452,0.9634830733515228,38.32733214949258,26.18961003616429
CHASE-DB1,2026,AE reconstruction (GT input; sanity only),NO,0.5,16,0.005,baseline,0.9082782353673663,0.8322810488087791,0.9875771658761161,0.9004885639463153,0.9940254645688194,0.9962490493610071,38.15186428671171,26.717385633259568
CHASE-DB1,2026,Baseline coarse mask (baseline),YES,0.5,16,0.005,baseline,0.7764439071927752,0.6350606552192143,0.9695024490356445,0.7678286944116864,0.9851983104433332,0.8765135067522961,nan,nan
CHASE-DB1,2026,Proposed refinement from coarse mask (baseline),YES,0.5,16,0.005,baseline,0.7669554608208793,0.6222423017024994,0.9675329753330776,0.7763252854347229,0.9823897097791944,0.9657878410083118,36.33557142373839,27.843294820460216
