image_idx,dice,iou,accuracy,sensitivity,specificity,auc
0,0.12790206,0.06833203548333207,0.2515068054199219,0.7865223806751641,0.21136204259141445,0.502241380072894
1,0.13857113,0.07450195622478083,0.2537345886230469,0.78739999996063,0.2096562376098121,0.5028902911077706
14,0.14707257,0.07954814233573541,0.25774383544921875,0.7884840811746385,0.21074093606260877,0.5038278824704212
15,0.1409421,0.07614450990571299,0.2552070617675781,0.7895976447110109,0.2101594943820827,0.49926344098225117
28,0.14166532,0.07628271036224203,0.2562980651855469,0.7825410712169466,0.2114790743875006,0.499541113294706
29,0.1365045,0.0736338668478377,0.25373077392578125,0.7909460833778765,0.2101746919375704,0.5007568042412438
42,0.1419995,0.07674635618666603,0.2564811706542969,0.7888407419646116,0.2112249332579573,0.5003991304402841
43,0.13923517,0.07507767390168836,0.2539024353027344,0.7870705467856294,0.20945725349435904,0.499231873097625
56,0.1439349,0.0777058235591394,0.25732421875,0.7883783523604547,0.21154148952833146,0.5054225561060643
57,0.15356639,0.08328805439575863,0.2598609924316406,0.7874916238200808,0.21059897647132914,0.5013111235629757
70,0.1376474,0.0739600039784362,0.25331878662109375,0.7880727932253833,0.20953996376411105,0.5030736951032823
71,0.13663724,0.07349938170558791,0.25403594970703125,0.7886228457735437,0.2106667546481024,0.5018175712832816
84,0.14175402,0.07656511582151879,0.255126953125,0.7924620655510297,0.20971064977531417,0.5026005642214566
85,0.13887382,0.07485018602931502,0.2544212341308594,0.7890718562480503,0.21016587912545778,0.4988854372715429
98,0.11898079,0.06336874397933598,0.24761581420898438,0.7908492857944142,0.2102449943115564,0.5038591310119029
99,0.117627025,0.06263144372037993,0.24849319458007812,0.7886286021934797,0.21176355554744997,0.5037580821521587
112,0.09499159,0.0497793620128581,0.239349365234375,0.7869519360564297,0.21014184112102646,0.5040792547146612
113,0.094491564,0.04964210948421971,0.23976516723632812,0.7837675048348315,0.2107312486429799,0.49924973945940393
126,0.11580837,0.061687601628544655,0.24713516235351562,0.7913515491100663,0.2108257239114425,0.5029313999435803
127,0.11420415,0.06071768061282929,0.24612045288085938,0.7886776144716213,0.21038764606779378,0.49916324423180414
140,0.09998976,0.052877509182983465,0.24224853515625,0.7931626376202858,0.21120880714931695,0.5026912068657363
141,0.09972559,0.05266643795598821,0.24158096313476562,0.7866344031893364,0.21071130584010547,0.49834699503441027
154,0.13138275,0.07033736323072677,0.2522773742675781,0.7857369926467237,0.2108891355275583,0.499648981655358
155,0.1341371,0.07218076442728806,0.2525177001953125,0.7918961038549664,0.20977051717947018,0.5010001567676521
168,0.11405216,0.06048570994669502,0.2455902099609375,0.7880175774718068,0.20996231508083776,0.5018164863316827
169,0.1168889,0.06216284298374915,0.247283935546875,0.7886041603383416,0.21072328849600006,0.5037794778670185
182,0.12571439,0.06726884779958621,0.24959945678710938,0.7903180880847687,0.20985040521141124,0.5014154573760118
183,0.10891939,0.057703379794263904,0.24456024169921875,0.7900325732384343,0.2106331596383598,0.5042318894242436
